"Ticker","Year"
"DRI","2019"
"DRI","2017"
"DRI","2020"
"DRI","2016"
"DRI","2021"
"DRI","2015"
"DTE","2017"
"DTE","2018"
"DTE","2016"
"DTE","2015"
"DTE","2019"
"DTE","2020"
"DTE","2022"
"DTE","2021"
"DUK","2017"
"DUK","2015"
"DUK","2022"
"DUK","2018"
"DUK","2019"
"DUK","2016"
"DUK","2021"
"DUK","2020"
"DVA","2015"
"DVA","2017"
"DVA","2019"
"DVA","2016"
"DVA","2018"
"DVA","2020"
"DVA","2022"
"DVA","2021"
"DVN","2018"
"DVN","2017"
"DVN","2019"
"DVN","2020"
"DVN","2015"
"DVN","2021"
"DVN","2022"
"DVN","2016"
"DXC","2021"
"DXC","2022"
"DXC","2017"
"DXC","2018"
"DXC","2020"
"DXC","2019"
"DXCM","2022"
"DXCM","2020"
"DXCM","2021"
"EA","2022"
"EA","2017"
"EA","2016"
"EA","2015"
"EA","2019"
"EA","2018"
"EA","2021"
"EA","2020"
"EBAY","2021"
"EBAY","2016"
"EBAY","2019"
"EBAY","2017"
"EBAY","2020"
"EBAY","2022"
"EBAY","2015"
"EBAY","2018"
"ECL","2018"
"ECL","2022"
"ECL","2021"
"ECL","2017"
"ECL","2019"
"ECL","2015"
"ECL","2016"
"ECL","2020"
"ED","2019"
"ED","2017"
"ED","2016"
"ED","2022"
"ED","2020"
"ED","2021"
"ED","2018"
"ED","2015"
"EFX","2020"
"EFX","2017"
"EFX","2018"
"EFX","2019"
"EFX","2015"
"EFX","2016"
"EFX","2022"
"EFX","2021"
"EIX","2020"
"EIX","2016"
"EIX","2019"
"EIX","2015"
"EIX","2021"
"EIX","2017"
"EIX","2022"
"EIX","2018"
"EL","2016"
"EL","2017"
"EL","2019"
"EL","2022"
"EL","2018"
"EL","2021"
"EL","2015"
"EL","2020"
"EMC","2015"
"EMN","2020"
"EMN","2016"
"EMN","2015"
"EMN","2019"
"EMN","2021"
"EMN","2017"
"EMN","2022"
"EMN","2018"
"EMR","2021"
"EMR","2019"
"EMR","2022"
"EMR","2016"
"EMR","2018"
"EMR","2020"
"EMR","2017"
"EMR","2015"
"ENPH","2021"
"ENPH","2022"
"EOG","2016"
"EOG","2022"
"EOG","2018"
"EOG","2017"
"EOG","2021"
"EOG","2020"
"EOG","2019"
"EOG","2015"
"EPAM","2021"
"EPAM","2022"
"EQT","2017"
"EQT","2016"
"EQT","2022"
"EQT","2015"
"ES","2016"
"ES","2018"
"ES","2015"
"ES","2022"
"ES","2017"
"ES","2019"
"ES","2020"
"ES","2021"
"ESRX","2017"
"ESRX","2016"
"ESRX","2015"
"ETN","2020"
"ETN","2017"
"ETN","2022"
"ETN","2021"
"ETN","2019"
"ETN","2015"
"ETN","2016"
"ETN","2018"
"ETR","2020"
"ETR","2017"
"ETR","2016"
"ETR","2019"
"ETR","2018"
"ETR","2021"
"ETR","2022"
"ETR","2015"
"ETSY","2022"
"ETSY","2021"
"ETSY","2020"
"EVHC","2017"
"EVHC","2016"
"EVRG","2021"
"EVRG","2020"
"EVRG","2019"
"EVRG","2018"
"EVRG","2022"
"EW","2019"
"EW","2015"
"EW","2020"
"EW","2022"
"EW","2017"
"EW","2021"
"EW","2018"
"EW","2016"
"EXC","2018"
"EXC","2017"
"EXC","2022"
"EXC","2016"
"EXC","2020"
"EXC","2015"
"EXC","2021"
"EXC","2019"
"EXPD","2017"
"EXPD","2015"
"EXPD","2021"
"EXPD","2019"
"EXPD","2020"
"EXPD","2022"
"EXPD","2016"
"EXPD","2018"
"EXPE","2017"
"EXPE","2022"
"EXPE","2020"
"EXPE","2021"
"EXPE","2015"
"EXPE","2018"
"EXPE","2016"
"EXPE","2019"
"F","2022"
"F","2021"
"F","2015"
"F","2016"
"F","2017"
"F","2020"
"F","2018"
"F","2019"
"FANG","2019"
"FANG","2021"
"FANG","2018"
"FANG","2020"
"FANG","2022"
"FAST","2016"
"FAST","2019"
"FAST","2021"
"FAST","2020"
"FAST","2017"
"FAST","2015"
"FAST","2022"
"FAST","2018"
"FCX","2019"
"FCX","2017"
"FCX","2015"
"FCX","2021"
"FCX","2022"
"FCX","2018"
"FCX","2020"
"FCX","2016"
"FDS","2022"
"FDS","2021"
"FDX","2016"
"FDX","2021"
"FDX","2019"
"FDX","2018"
"FDX","2020"
"FDX","2015"
"FDX","2017"
"FDX","2022"
"FE","2020"
"FE","2022"
"FE","2019"
"FE","2016"
"FE","2017"
"FE","2021"
"FE","2015"
"FE","2018"
"FFIV","2017"
"FFIV","2021"
"FFIV","2016"
"FFIV","2018"
"FFIV","2022"
"FFIV","2015"
"FFIV","2019"
"FFIV","2020"
"FIS","2015"
"FIS","2022"
"FIS","2019"
"FIS","2016"
"FIS","2020"
"FIS","2021"
"FIS","2017"
"FIS","2018"
"FISV","2016"
"FISV","2021"
"FISV","2017"
"FISV","2018"
"FISV","2019"
"FISV","2020"
"FISV","2022"
"FISV","2015"
"FL","2018"
"FL","2017"
"FL","2016"
"FLIR","2017"
"FLIR","2019"
"FLIR","2018"
"FLIR","2016"
"FLIR","2015"
"FLIR","2020"
"FLR","2015"
"FLR","2016"
"FLR","2018"
"FLR","2017"
"FLS","2016"
"FLS","2020"
"FLS","2017"
"FLS","2015"
"FLS","2019"
"FLS","2018"
"FLT","2019"
"FLT","2022"
"FLT","2021"
"FLT","2018"
"FLT","2020"
"FMC","2021"
"FMC","2015"
"FMC","2022"
"FMC","2019"
"FMC","2017"
"FMC","2016"
"FMC","2020"
"FMC","2018"
"FOSL","2015"
"FOX","2020"
"FOX","2017"
"FOX","2016"
"FOX","2021"
"FOX","2015"
"FOX","2019"
"FOX","2022"
"FOX","2018"
"FOXA","2019"
"FOXA","2022"
"FOXA","2017"
"FOXA","2015"
"FOXA","2020"
"FOXA","2018"
"FOXA","2021"
"FOXA","2016"
"FSLR","2015"
"FSLR","2016"
"FSLR","2022"
"FTI","2017"
"FTI","2016"
"FTI","2018"
"FTI","2020"
"FTI","2019"
"FTI","2015"
"FTNT","2022"
"FTNT","2020"
"FTNT","2018"
"FTNT","2021"
"FTNT","2019"
"FTV","2019"
"FTV","2016"
"FTV","2017"
"FTV","2021"
"FTV","2018"
"FTV","2022"
"FTV","2020"
"GAS","2015"
"GD","2015"
"GD","2016"
"GD","2022"
"GD","2019"
"GD","2020"
"GD","2017"
"GD","2018"
"GD","2021"
"GE","2021"
"GE","2020"
"GE","2019"
"GE","2017"
"GE","2018"
"GE","2016"
"GE","2015"
"GE","2022"
"GEN","2022"
"GILD","2018"
"GILD","2016"
"GILD","2017"
"GILD","2022"
"GILD","2021"
"GILD","2019"
"GILD","2020"
"GILD","2015"
"GIS","2017"
"GIS","2015"
"GIS","2020"
"GIS","2022"
"GIS","2019"
"GIS","2021"
"GIS","2016"
"GIS","2018"
"GLW","2017"
"GLW","2020"
"GLW","2016"
"GLW","2015"
"GLW","2021"
"GLW","2018"
"GLW","2019"
"GLW","2022"
"GM","2022"
"GM","2019"
"GM","2017"
"GM","2020"
"GM","2021"
"GM","2016"
"GM","2015"
"GM","2018"
"GMCR","2015"
"GME","2015"
"GNRC","2021"
"GNRC","2022"
"GOOG","2017"
"GOOG","2016"
"GOOG","2018"
"GOOG","2015"
"GOOG","2022"
"GOOG","2021"
"GOOG","2019"
"GOOG","2020"
"GOOGL","2020"
"GOOGL","2019"
"GOOGL","2017"
"GOOGL","2022"
"GOOGL","2018"
"GOOGL","2021"
"GOOGL","2016"
"GOOGL","2015"
"GPC","2021"
"GPC","2015"
"GPC","2019"
"GPC","2017"
"GPC","2016"
"GPC","2020"
"GPC","2022"
"GPC","2018"
"GPN","2017"
"GPN","2021"
"GPN","2020"
"GPN","2019"
"GPN","2022"
"GPN","2016"
"GPN","2018"
"GPS","2017"
"GPS","2015"
"GPS","2019"
"GPS","2020"
"GPS","2021"
"GPS","2016"
"GPS","2018"
"GRMN","2017"
"GRMN","2022"
"GRMN","2015"
"GRMN","2021"
"GRMN","2018"
"GRMN","2019"
"GRMN","2020"
"GRMN","2016"
"GT","2017"
"GT","2015"
"GT","2018"
"GT","2016"
"GWW","2018"
"GWW","2021"
"GWW","2015"
"GWW","2022"
"GWW","2019"
"GWW","2016"
"GWW","2017"
"GWW","2020"
"HAL","2020"
"HAL","2016"
"HAL","2018"
"HAL","2021"
"HAL","2022"
"HAL","2015"
"HAL","2017"
"HAL","2019"
"HAR","2015"
"HAR","2016"
"HAS","2015"
"HAS","2022"
"HAS","2020"
"HAS","2021"
"HAS","2019"
"HAS","2018"
"HAS","2016"
"HAS","2017"
"HBI","2016"
"HBI","2018"
"HBI","2019"
"HBI","2020"
"HBI","2017"
"HBI","2015"
"HCA","2016"
"HCA","2015"
"HCA","2018"
"HCA","2017"
"HCA","2020"
"HCA","2019"
"HCA","2022"
"HCA","2021"
"HCP","2016"
"HCP","2015"
"HCP","2018"
"HCP","2017"
"HD","2017"
"HD","2020"
"HD","2016"
"HD","2022"
"HD","2019"
"HD","2021"
"HD","2015"
"HD","2018"
"HES","2020"
"HES","2016"
"HES","2017"
"HES","2015"
"HES","2019"
"HES","2018"
"HES","2021"
"HES","2022"
"HII","2019"
"HII","2021"
"HII","2022"
"HII","2020"
"HII","2018"
"HLT","2020"
"HLT","2017"
"HLT","2019"
"HLT","2018"
"HLT","2021"
"HLT","2022"
"HOG","2018"
"HOG","2016"
"HOG","2015"
"HOG","2019"
"HOG","2017"
"HOLX","2018"
"HOLX","2016"
"HOLX","2020"
"HOLX","2022"
"HOLX","2019"
"HOLX","2021"
