"symbol","fy","FY_symbol","AccountsReceivableTurnover","CurrentRatio","DebtToEquity","ROA","ROE","DaysSalesinAccountingReceivable","DepreciationOverPlant","TimesInterestEarned","SalesToTotalAssets","NetIncomeLossToSales","SalestoCash","SalestoWorkingCapital","SalesToFixedAssets","WorkingCaitalToAssets","EBITDAMarginRatio","CashFlowOperationsToDebt","ChangeInDepreciation","ChangeInCurrentRatio","ChangeInDebtToEquity","ChangeInWorkingCapital","ChangeInDepreciationOverPlant","ChangeInEquityOverFixedAssets","ChangeInTimesInterestEarned","ChangeInSalesToTotalAssets","ChangeInPreTaxIncomeToSales","ChangeInNetIncomeLossToSales","ChangeInSalestoWorkingCapital","ChangeInWorkingCaitalToAssets","ChangeInEBITDAMarginRatio","ChangeInDebt","DiscretionaryAccrualsBinary"
"NWSA",2022,"2022 NWSA",-0.338126478960788,-0.501759931520742,-0.585840817982974,-0.603451848411069,-0.597098224050525,0.0990669645533183,0.359779504470545,0.644851090591112,-0.0221725381838952,-0.64834978346122,-0.647535065962208,1.65200696780227,0.913065829057668,-0.466696614079801,-0.358314935370751,-0.271652783838873,-0.73289904770867,-0.64621658837637,0.141461731391587,-0.607560948237576,0.455187819144178,1.43700363567758,-0.652843742447937,0.351863111398677,1.26453006942441,0.340695880810038,1.55679876905988,-0.756829653966528,1.04531390591543,-0.0674604149961347,"0"
"NXPI",2022,"2022 NXPI",1.46628572157953,0.956559587578965,0.105499848431209,0.794898098059315,0.951531225466486,-0.989132300328055,1.42523908346432,-0.156290825479506,-0.127921436820073,0.874115890823924,-0.862294490165564,0.0125862564835773,-0.571077732676347,0.581918508857538,0.719107830460126,0.706623060063502,-0.593279788869132,0.0530021625648405,-0.184266326384157,0.843563113283439,-1.7023038393578,0.362477878046981,0.0507041919749396,0.27157828646289,0.869951859064803,0.606266878664142,-0.147329191469138,0.63423443930112,0.27595344906266,0.606694145737837,"0"
"ODFL",2021,"2021 ODFL",0.281332009051832,1.8572023357534,-1.1148697496221,1.7828996286829,0.468580699545769,-0.455706352144166,-0.989018462749274,1.6248025690032,1.46050955109862,0.730302743771697,-0.110631273540103,0.260889163394734,0.112007906893196,0.859992745128417,1.42022741286431,1.78154133233093,-0.408284270906744,-1.11594648904477,0.00146874557944753,0.0508207417801929,-0.515916084207607,0.0430966412123638,1.65725333776212,1.74050010324097,1.25820277297812,0.410506074353035,0.196594274295904,-0.0832702175941017,0.788482179373262,-0.294211502106246,"0"
"ODFL",2022,"2022 ODFL",0.691685230434331,0.410903493441816,-1.10521168377867,1.7828996286829,0.966366890989798,-0.690579058887388,-1.03460049982911,1.6248025690032,1.76980309333038,0.964157337340157,1.47306440731959,1.41018982967494,0.18245825085544,-0.0439334906664126,1.63737178511095,1.78154133233093,-0.109848105137231,-1.73932297301739,0.0461170948227976,-0.4825641239038,-0.37734201752571,-1.3199994244053,1.65725333776212,1.74050010324097,0.945566830177189,0.31720185837272,1.55679876905988,-1.8639968477007,0.80671110063574,-0.330623176152845,"0"
"OGN",2022,"2022 OGN",-1.05775866192832,0.110046233634754,-1.98660807288351,0.189975860804128,-1.87061476459222,1.52525181315538,-0.88787235045447,-0.693719420051219,-0.142290460234519,0.243925988030562,-0.358851284035385,0.100472057706199,-0.505599939305542,0.34421038636008,1.03802397833222,-1.06473200557555,-0.314041271190056,0.494409450505749,-1.66705611501102,0.245930367061707,-0.0861955207269236,0.858603527069124,-1.06648818268923,-0.470294214962911,-0.12302218229516,-1.05614982671564,-0.306564689237344,0.546877583854591,-0.0585645524029182,-0.587731869475612,"0"
"OKE",2018,"2018 OKE",1.62805592724228,-1.26278160150588,-0.129512378625564,-0.117681356526065,-0.0515714035575884,-1.10513442885539,-1.37770069885633,-0.662694116633937,0.244726120665574,-0.300526309391406,1.47306440731959,-1.65871583935336,-0.629938641864933,-1.07584622185518,0.015305546967119,0.106460499048349,0.00397649563170204,0.0983316916086202,-0.68971539132581,0.186519252019851,-0.222523821933458,0.216510689854543,0.296312542804239,-0.531089982214486,1.1089089494689,0.918154540498491,-1.04537632595483,0.417296344858297,1.16808564326992,-0.137368644158728,"0"
"OKE",2019,"2019 OKE",1.04846822911375,-1.1646696120754,0.364590165155162,-0.371003088153932,-0.0793502710388631,-0.845991010298045,-1.40059274811238,-0.633047242969492,-0.439300210936627,-0.169395500747832,1.47306440731959,-1.65871583935336,-0.865997506384316,-0.960203484446774,0.498968810716456,-0.53138151916919,0.453480699465595,0.313475931868499,1.61867162473862,0.155143060779429,-0.226184083664428,-0.836399191562989,-0.0505164434919549,-1.79352813046665,1.33081541102227,0.159894744006397,-0.230239790391991,0.3968262304405,1.66150779513702,1.54245804911366,"0"
"OKE",2020,"2020 OKE",0.553457076731648,-0.155299412729005,0.577791547927944,-0.764106366641913,-0.463989376126806,-0.619390997097592,-1.36878952770791,-1.02347518756203,-0.731074227648747,-0.529948802867756,0.356068256428748,1.50026714256636,-0.958079861807281,-0.555824637406101,0.0780116541534155,-0.667895536422867,1.39851110532836,1.78841469799896,0.809583527509599,1.01935211215313,0.138189137602895,-0.222499175517889,-0.956836377523843,-1.26433786806616,-1.68052792994552,-0.593050727196148,1.55679876905988,1.138896023289,-1.54115965562606,0.606151890982464,"0"
"OKE",2021,"2021 OKE",0.864090537569127,-1.13757240306532,0.650337449763003,-0.090915844176891,0.372778939432329,-0.770253497347011,-1.35400936526152,-0.759004245613123,0.273602945632574,-0.290353958916065,1.47306440731959,-1.65871583935336,-0.601106532606903,-1.03680517185334,0.0416490778982595,-0.330999425631427,0.367283259539535,-1.73932297301739,0.28200178280097,-1.25662315509902,0.0247835999301744,-0.0355922854918194,0.456121243003391,1.74050010324097,0.817307303680321,0.325992249265994,-1.60782099114681,-1.13653275371423,-0.12605825349326,0.0198692470442401,"0"
"OKE",2022,"2022 OKE",1.62805592724228,-1.00156666577971,0.533736111308241,0.220541361110678,0.676321323040952,-1.05348437685956,-1.35999906230495,-0.644779026269365,0.937320183059418,-0.314172549225199,1.47306440731959,-1.65871583935335,-0.366439410509222,-0.921880302944,-0.215361243277151,-0.149527379665534,-0.306519283620076,0.399019937314542,-0.427466702704478,0.293507787251836,-0.113582672958615,0.120199547585926,0.131963051457698,1.74050010324097,-0.656701503227238,-0.0773885963599036,-1.60782099114681,0.39498126366764,-0.937923394609214,-0.174206661010534,"0"
